               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03145,            0.022043,           0.0015298,             0.83286,             0.76146,             0.82265,             0.55726,            0.034357,            0.015079,           0.0024553,            0.006535,            0.006535,            0.006535
                  37,            0.030066,            0.021304,           0.0016095,              0.8008,             0.81489,               0.822,             0.53167,            0.033909,            0.015141,           0.0022013,            0.006436,            0.006436,            0.006436
                  38,            0.031513,            0.023354,           0.0018145,             0.81537,             0.80988,              0.8278,             0.56337,            0.030805,            0.013737,           0.0018354,            0.006337,            0.006337,            0.006337
                  39,            0.030198,            0.022703,           0.0015003,              0.8178,             0.82351,             0.84902,             0.56393,            0.032016,            0.013726,           0.0018442,            0.006238,            0.006238,            0.006238
                  40,            0.030376,            0.022166,           0.0017502,             0.80929,             0.79045,             0.82106,             0.55275,            0.033138,            0.013941,           0.0019788,            0.006139,            0.006139,            0.006139
                  41,            0.029828,            0.022018,           0.0016719,             0.80226,             0.78456,              0.8077,             0.53216,            0.034109,            0.015027,           0.0024189,             0.00604,             0.00604,             0.00604
                  42,            0.033335,            0.022402,            0.001879,             0.79796,             0.82258,             0.81577,             0.53976,            0.033039,            0.015025,           0.0021579,            0.005941,            0.005941,            0.005941
                  43,            0.028957,            0.021981,           0.0018611,             0.84069,             0.79948,             0.83435,             0.57527,            0.031072,            0.014359,            0.001995,            0.005842,            0.005842,            0.005842
                  44,            0.029633,            0.022752,           0.0014881,             0.83072,             0.78321,             0.81491,              0.5542,             0.03211,            0.015222,           0.0018279,            0.005743,            0.005743,            0.005743
                  45,            0.029734,            0.021946,           0.0017552,             0.81817,             0.74755,             0.81591,             0.55406,             0.03322,             0.01562,           0.0019787,            0.005644,            0.005644,            0.005644
                  46,            0.029214,            0.020869,           0.0015227,             0.85687,             0.78385,              0.8155,             0.56247,            0.031385,            0.014761,           0.0017244,            0.005545,            0.005545,            0.005545
                  47,            0.028219,            0.021254,           0.0013906,             0.84489,             0.77331,             0.82106,              0.5749,            0.031616,            0.014964,           0.0018183,            0.005446,            0.005446,            0.005446
                  48,            0.028269,             0.02215,           0.0014112,             0.84463,             0.77421,             0.82329,             0.58665,            0.030612,            0.014411,           0.0018347,            0.005347,            0.005347,            0.005347
                  49,            0.027799,            0.020445,           0.0013759,             0.85246,             0.79478,             0.82885,             0.57999,            0.032068,            0.014529,           0.0019607,            0.005248,            0.005248,            0.005248
                  50,            0.027822,            0.021168,           0.0013765,             0.84576,             0.75773,             0.81872,             0.58625,            0.031835,            0.014725,           0.0019196,            0.005149,            0.005149,            0.005149
                  51,            0.026853,            0.020491,           0.0014655,             0.86685,             0.76853,             0.82215,             0.57642,            0.033675,            0.014489,           0.0019274,             0.00505,             0.00505,             0.00505
                  52,              0.0276,            0.019753,           0.0013788,             0.86607,             0.81026,             0.83159,              0.5908,            0.032534,            0.014521,           0.0019817,            0.004951,            0.004951,            0.004951
                  53,            0.026313,            0.020615,           0.0012704,             0.85857,             0.80335,             0.83038,             0.56745,             0.03288,            0.014638,           0.0018394,            0.004852,            0.004852,            0.004852
                  54,             0.02785,            0.020894,           0.0013192,             0.88484,             0.78503,             0.84594,             0.59072,            0.030456,            0.014051,           0.0017854,            0.004753,            0.004753,            0.004753
                  55,            0.024974,             0.01969,           0.0014509,             0.83452,             0.80551,             0.83824,             0.58606,            0.031047,            0.014806,           0.0017793,            0.004654,            0.004654,            0.004654
                  56,            0.026599,            0.019287,           0.0013161,             0.82672,              0.8076,             0.83277,             0.58235,            0.032064,            0.015188,           0.0018894,            0.004555,            0.004555,            0.004555
                  57,            0.026907,            0.019917,           0.0015402,              0.8598,             0.79816,             0.83872,             0.59622,            0.030199,            0.015181,           0.0019094,            0.004456,            0.004456,            0.004456
                  58,            0.025749,            0.021407,           0.0011862,             0.82505,             0.81272,             0.83971,             0.60462,              0.0305,            0.014908,           0.0017795,            0.004357,            0.004357,            0.004357
                  59,            0.025904,            0.019631,           0.0012077,             0.89213,             0.75484,             0.82453,             0.59863,            0.029808,            0.015206,           0.0018786,            0.004258,            0.004258,            0.004258
